"Species","BodyWeight","BrainWeight"
"MountainBeaver","Quantity[1.35, ""Kilograms""]","Quantity[8.1, ""Grams""]"
"Cow","Quantity[465, ""Kilograms""]","Quantity[423, ""Grams""]"
"GreyWolf","Quantity[36.33, ""Kilograms""]","Quantity[119.5, ""Grams""]"
"Goat","Quantity[27.66, ""Kilograms""]","Quantity[115, ""Grams""]"
"GuineaPig","Quantity[1.04, ""Kilograms""]","Quantity[5.5, ""Grams""]"
"Diplodocus","Quantity[11700, ""Kilograms""]","Quantity[50, ""Grams""]"
"AsianElephant","Quantity[2547, ""Kilograms""]","Quantity[4603, ""Grams""]"
"Donkey","Quantity[187.1, ""Kilograms""]","Quantity[419, ""Grams""]"
"Horse","Quantity[521, ""Kilograms""]","Quantity[655, ""Grams""]"
"PotarMonkey","Quantity[10, ""Kilograms""]","Quantity[115, ""Grams""]"
"Cat","Quantity[3.3, ""Kilograms""]","Quantity[25.6, ""Grams""]"
"Giraffe","Quantity[529, ""Kilograms""]","Quantity[680, ""Grams""]"
"Gorilla","Quantity[207, ""Kilograms""]","Quantity[406, ""Grams""]"
"Human","Quantity[62, ""Kilograms""]","Quantity[1320, ""Grams""]"
"AfricanElephant","Quantity[6654, ""Kilograms""]","Quantity[5712, ""Grams""]"
"Triceratops","Quantity[9400, ""Kilograms""]","Quantity[70, ""Grams""]"
"RhesusMonkey","Quantity[6.8, ""Kilograms""]","Quantity[179, ""Grams""]"
"Kangaroo","Quantity[35, ""Kilograms""]","Quantity[56, ""Grams""]"
"GoldenHamster","Quantity[0.12, ""Kilograms""]","Quantity[1, ""Grams""]"
"Mouse","Quantity[0.023, ""Kilograms""]","Quantity[0.4, ""Grams""]"
"Rabbit","Quantity[2.5, ""Kilograms""]","Quantity[12.1, ""Grams""]"
"Sheep","Quantity[55.5, ""Kilograms""]","Quantity[175, ""Grams""]"
"Jaguar","Quantity[100, ""Kilograms""]","Quantity[157, ""Grams""]"
"Chimpanzee","Quantity[52.16, ""Kilograms""]","Quantity[440, ""Grams""]"
"Rat","Quantity[0.28, ""Kilograms""]","Quantity[1.9, ""Grams""]"
"Brachiosaurus","Quantity[87000, ""Kilograms""]","Quantity[154.5, ""Grams""]"
"Mole","Quantity[0.122, ""Kilograms""]","Quantity[3, ""Grams""]"
"Pig","Quantity[192, ""Kilograms""]","Quantity[180, ""Grams""]"
